Region_Code,Year,Total_Crimes,Crime_Rate,Region_Name
PV20,2010,38320.0,66.4,Groningen
PV20,2011,37190.0,64.2,Groningen
PV20,2012,35875.0,61.8,Groningen
PV20,2013,34450.0,59.2,Groningen
PV20,2014,30715.0,52.7,Groningen
PV20,2015,30065.0,51.5,Groningen
PV20,2016,29570.0,50.7,Groningen
PV20,2017,24990.0,42.8,Groningen
PV20,2018,24065.0,41.3,Groningen
PV20,2019,24935.0,42.7,Groningen
PV20,2020,23830.0,40.7,Groningen
PV20,2021,23350.0,39.8,Groningen
PV20,2022,25390.0,43.0,Groningen
PV20,2023,26885.0,45.1,Groningen
PV20,2024,26030.0,43.3,Groningen
PV21,2010,31795.0,49.2,Fryslân
PV21,2011,31950.0,49.4,Fryslân
PV21,2012,29905.0,46.2,Fryslân
PV21,2013,28760.0,44.5,Fryslân
PV21,2014,27620.0,42.7,Fryslân
PV21,2015,26585.0,41.1,Fryslân
PV21,2016,24600.0,38.1,Fryslân
PV21,2017,21140.0,32.7,Fryslân
PV21,2018,22010.0,34.0,Fryslân
PV21,2019,22260.0,34.4,Fryslân
PV21,2020,22135.0,34.1,Fryslân
PV21,2021,20380.0,31.3,Fryslân
PV21,2022,21135.0,32.3,Fryslân
PV21,2023,21060.0,31.9,Fryslân
PV21,2024,20590.0,31.1,Fryslân
PV22,2010,26085.0,53.1,Drenthe
PV22,2011,26095.0,53.1,Drenthe
PV22,2012,25180.0,51.3,Drenthe
PV22,2013,23110.0,47.2,Drenthe
PV22,2014,21470.0,43.9,Drenthe
PV22,2015,20090.0,41.1,Drenthe
PV22,2016,18660.0,38.2,Drenthe
PV22,2017,16480.0,33.5,Drenthe
PV22,2018,15675.0,31.9,Drenthe
PV22,2019,17205.0,35.0,Drenthe
PV22,2020,17915.0,36.3,Drenthe
PV22,2021,16810.0,34.0,Drenthe
PV22,2022,17510.0,35.2,Drenthe
PV22,2023,16975.0,33.8,Drenthe
PV22,2024,15725.0,31.2,Drenthe
PV23,2010,63765.0,56.4,Overijssel
PV23,2011,64610.0,57.0,Overijssel
PV23,2012,63280.0,55.6,Overijssel
PV23,2013,60990.0,53.5,Overijssel
PV23,2014,54065.0,47.4,Overijssel
PV23,2015,50580.0,44.3,Overijssel
PV23,2016,48590.0,42.5,Overijssel
PV23,2017,43450.0,37.9,Overijssel
PV23,2018,42275.0,36.7,Overijssel
PV23,2019,43085.0,37.3,Overijssel
PV23,2020,44665.0,38.4,Overijssel
PV23,2021,41700.0,35.7,Overijssel
PV23,2022,46490.0,39.7,Overijssel
PV23,2023,43630.0,36.8,Overijssel
PV23,2024,43995.0,37.0,Overijssel
PV24,2010,25765.0,66.4,Flevoland
PV24,2011,26125.0,66.6,Flevoland
PV24,2012,25850.0,65.4,Flevoland
PV24,2013,26000.0,65.3,Flevoland
PV24,2014,23335.0,58.4,Flevoland
PV24,2015,21550.0,53.6,Flevoland
PV24,2016,20830.0,51.6,Flevoland
PV24,2017,18685.0,45.8,Flevoland
PV24,2018,18205.0,44.2,Flevoland
PV24,2019,19270.0,46.3,Flevoland
PV24,2020,18875.0,44.6,Flevoland
PV24,2021,16920.0,39.5,Flevoland
PV24,2022,17325.0,39.9,Flevoland
PV24,2023,17220.0,38.7,Flevoland
PV24,2024,17530.0,38.9,Flevoland
PV25,2010,127595.0,63.8,Gelderland
PV25,2011,125520.0,62.6,Gelderland
PV25,2012,119780.0,59.6,Gelderland
PV25,2013,112985.0,56.1,Gelderland
PV25,2014,102230.0,50.6,Gelderland
PV25,2015,95195.0,47.0,Gelderland
PV25,2016,92785.0,45.6,Gelderland
PV25,2017,81715.0,39.9,Gelderland
PV25,2018,76855.0,37.3,Gelderland
PV25,2019,82735.0,39.9,Gelderland
PV25,2020,84115.0,40.3,Gelderland
PV25,2021,79110.0,37.7,Gelderland
PV25,2022,82250.0,39.0,Gelderland
PV25,2023,79960.0,37.5,Gelderland
PV25,2024,79340.0,36.9,Gelderland
PV26,2010,90440.0,74.1,Utrecht
PV26,2011,86305.0,70.2,Utrecht
PV26,2012,82140.0,66.4,Utrecht
PV26,2013,79440.0,63.8,Utrecht
PV26,2014,75820.0,60.5,Utrecht
PV26,2015,74175.0,58.7,Utrecht
PV26,2016,72070.0,56.6,Utrecht
PV26,2017,66560.0,51.8,Utrecht
PV26,2018,63445.0,49.0,Utrecht
PV26,2019,65570.0,48.9,Utrecht
PV26,2020,64250.0,47.4,Utrecht
PV26,2021,57535.0,42.3,Utrecht
PV26,2022,59435.0,43.4,Utrecht
PV26,2023,62015.0,44.7,Utrecht
PV26,2024,60350.0,43.1,Utrecht
PV27,2010,235530.0,88.2,Noord-Holland
PV27,2011,236880.0,88.0,Noord-Holland
PV27,2012,225745.0,83.3,Noord-Holland
PV27,2013,222530.0,81.7,Noord-Holland
PV27,2014,207610.0,75.7,Noord-Holland
PV27,2015,202670.0,73.4,Noord-Holland
PV27,2016,189710.0,68.1,Noord-Holland
PV27,2017,171760.0,61.1,Noord-Holland
PV27,2018,162985.0,57.6,Noord-Holland
PV27,2019,166930.0,58.5,Noord-Holland
PV27,2020,156670.0,54.4,Noord-Holland
PV27,2021,144990.0,50.2,Noord-Holland
PV27,2022,161575.0,55.5,Noord-Holland
PV27,2023,168695.0,57.1,Noord-Holland
PV27,2024,169585.0,57.0,Noord-Holland
PV28,2010,275405.0,78.6,Zuid-Holland
PV28,2011,285845.0,81.0,Zuid-Holland
PV28,2012,269475.0,75.9,Zuid-Holland
PV28,2013,254775.0,71.5,Zuid-Holland
PV28,2014,237745.0,66.5,Zuid-Holland
PV28,2015,224970.0,62.5,Zuid-Holland
PV28,2016,218565.0,60.3,Zuid-Holland
PV28,2017,197600.0,54.1,Zuid-Holland
PV28,2018,181550.0,49.3,Zuid-Holland
PV28,2019,190650.0,51.9,Zuid-Holland
PV28,2020,193930.0,52.3,Zuid-Holland
PV28,2021,180340.0,48.4,Zuid-Holland
PV28,2022,192075.0,51.2,Zuid-Holland
PV28,2023,192260.0,50.5,Zuid-Holland
PV28,2024,193940.0,50.5,Zuid-Holland
PV29,2010,22165.0,58.1,Zeeland
PV29,2011,22555.0,59.1,Zeeland
PV29,2012,20935.0,54.9,Zeeland
PV29,2013,19120.0,50.2,Zeeland
PV29,2014,17180.0,45.1,Zeeland
PV29,2015,16840.0,44.2,Zeeland
PV29,2016,15560.0,40.8,Zeeland
PV29,2017,13540.0,35.5,Zeeland
PV29,2018,12725.0,33.3,Zeeland
PV29,2019,13490.0,35.2,Zeeland
PV29,2020,14220.0,37.1,Zeeland
PV29,2021,13535.0,35.1,Zeeland
PV29,2022,14135.0,36.5,Zeeland
PV29,2023,13560.0,34.7,Zeeland
PV29,2024,14260.0,36.4,Zeeland
PV30,2010,176065.0,72.0,Noord-Brabant
PV30,2011,174345.0,71.0,Noord-Brabant
PV30,2012,172340.0,70.0,Noord-Brabant
PV30,2013,164440.0,66.5,Noord-Brabant
PV30,2014,152130.0,61.4,Noord-Brabant
PV30,2015,145560.0,58.5,Noord-Brabant
PV30,2016,135220.0,54.1,Noord-Brabant
PV30,2017,118795.0,47.3,Noord-Brabant
PV30,2018,112580.0,44.5,Noord-Brabant
PV30,2019,119540.0,47.0,Noord-Brabant
PV30,2020,120340.0,47.0,Noord-Brabant
PV30,2021,113905.0,44.3,Noord-Brabant
PV30,2022,119240.0,46.0,Noord-Brabant
PV30,2023,120235.0,45.8,Noord-Brabant
PV30,2024,117060.0,44.3,Noord-Brabant
PV31,2010,85495.0,76.2,Limburg
PV31,2011,87010.0,77.5,Limburg
PV31,2012,82725.0,73.7,Limburg
PV31,2013,77580.0,69.2,Limburg
PV31,2014,74285.0,66.3,Limburg
PV31,2015,68995.0,61.7,Limburg
PV31,2016,63025.0,56.5,Limburg
PV31,2017,56585.0,50.6,Limburg
PV31,2018,52330.0,46.8,Limburg
PV31,2019,54315.0,48.7,Limburg
PV31,2020,51270.0,45.9,Limburg
PV31,2021,48790.0,43.7,Limburg
PV31,2022,53275.0,47.6,Limburg
PV31,2023,53010.0,47.0,Limburg
PV31,2024,52860.0,46.6,Limburg
PV99,2010,2400.0,0.0,Niet in te delen
PV99,2011,2130.0,0.0,Niet in te delen
PV99,2012,1720.0,0.0,Niet in te delen
PV99,2013,1380.0,0.0,Niet in te delen
PV99,2014,1420.0,0.0,Niet in te delen
PV99,2015,1665.0,0.0,Niet in te delen
PV99,2016,1135.0,0.0,Niet in te delen
PV99,2017,1640.0,0.0,Niet in te delen
PV99,2018,1720.0,0.0,Niet in te delen
PV99,2019,1920.0,0.0,Niet in te delen
PV99,2020,935.0,0.0,Niet in te delen
PV99,2021,700.0,0.0,Niet in te delen
PV99,2022,725.0,0.0,Niet in te delen
PV99,2023,865.0,0.0,Niet in te delen
PV99,2024,615.0,0.0,Niet in te delen
